SAMPLES	Type	SRR
urm1D	RNA	SRR5766518
uba4D	RNA	SRR5766541
tyw4D	RNA	SRR5766554
tyw3D	RNA	SRR5766553
tyw1D	RNA	SRR5766555
tum1D	RNA	SRR5766545
trm9D	RNA	SRR5766571
trm8D	RNA	SRR5766561
trm82D	RNA	SRR5766556
trm7D	RNA	SRR5766510
trm732D	RNA	SRR5766511
trm4D	RNA	SRR5766509
trm44D	RNA	SRR5766531
trm3D	RNA	SRR5766526
trm2D	RNA	SRR5766532
trm1D	RNA	SRR5766527
trm140D	RNA	SRR5766549
trm13D	RNA	SRR5766562
trm12D	RNA	SRR5766529
trm11D	RNA	SRR5766528
trm112D	RNA	SRR5766565
trm10D	RNA	SRR5766530
tan1D	RNA	SRR5766566
tad1D	RNA	SRR5766546
sit4D	RNA	SRR5766538
sap190D	RNA	SRR5766540
sap185D	RNA	SRR5766539
rtt10D	RNA	SRR5766512
rit1D	RNA	SRR5766519
pus9D	RNA	SRR5766534
pus7D	RNA	SRR5766517
pus5D	RNA	SRR5766560
pus4D	RNA	SRR5766559
pus3D	RNA	SRR5766533
pus2D	RNA	SRR5766535
pus1D	RNA	SRR5766516
ncs6D	RNA	SRR5766558
ncs2D	RNA	SRR5766542
mod5D	RNA	SRR5766564
kti13D	RNA	SRR5766575
kti12D	RNA	SRR5766537
kti11D	RNA	SRR5766515
isu2D	RNA	SRR5766544
isu1D	RNA	SRR5766543
gon7D	RNA	SRR5766574
elp6D	RNA	SRR5766563
elp5D	RNA	SRR5766570
elp4D	RNA	SRR5766536
elp3D	RNA	SRR5766514
elp2D	RNA	SRR5766557
elp1D	RNA	SRR5766513
dus4D	RNA	SRR5766552
dus3D	RNA	SRR5766551
dus2D	RNA	SRR5766569
dus1D	RNA	SRR5766550
cgi121D	RNA	SRR5766573
bud32D	RNA	SRR5766572
BY4741	RNA	SRR5766520
BY4741	RNA	SRR5766521
BY4741	RNA	SRR5766522
BY4741	RNA	SRR5766523
BY4741	RNA	SRR5766524
BY4741	RNA	SRR5766525
BY4741	RNA	SRR5766547
BY4741	RNA	SRR5766548
BY4741	RNA	SRR5766567
BY4741	RNA	SRR5766568
urm1D	RIBO	SRR5766394
urm1D	RIBO	SRR5766408
uba4D	RIBO	SRR5766427
uba4D	RIBO	SRR5766469
tyw4D	RIBO	SRR5766438
tyw4D	RIBO	SRR5766480
tyw3D	RIBO	SRR5766437
tyw3D	RIBO	SRR5766479
tyw1D	RIBO	SRR5766448
tyw1D	RIBO	SRR5766481
tum1D	RIBO	SRR5766431
tum1D	RIBO	SRR5766473
trm9D	RIBO	SRR5766494
trm9D	RIBO	SRR5766495
trm8D	RIBO	SRR5766445
trm8D	RIBO	SRR5766486
trm82D	RIBO	SRR5766440
trm82D	RIBO	SRR5766482
trm7D	RIBO	SRR5766384
trm7D	RIBO	SRR5766398
trm732D	RIBO	SRR5766385
trm732D	RIBO	SRR5766399
trm4D	RIBO	SRR5766383
trm4D	RIBO	SRR5766397
trm44D	RIBO	SRR5766417
trm44D	RIBO	SRR5766459
trm3D	RIBO	SRR5766412
trm3D	RIBO	SRR5766454
trm2D	RIBO	SRR5766418
trm2D	RIBO	SRR5766460
trm1D	RIBO	SRR5766413
trm1D	RIBO	SRR5766455
trm140D	RIBO	SRR5766433
trm140D	RIBO	SRR5766475
trm13D	RIBO	SRR5766446
trm13D	RIBO	SRR5766487
trm12D	RIBO	SRR5766415
trm12D	RIBO	SRR5766457
trm11D	RIBO	SRR5766414
trm11D	RIBO	SRR5766456
trm112D	RIBO	SRR5766450
trm112D	RIBO	SRR5766490
trm10D	RIBO	SRR5766416
trm10D	RIBO	SRR5766458
tan1D	RIBO	SRR5766451
tan1D	RIBO	SRR5766491
tad1D	RIBO	SRR5766432
tad1D	RIBO	SRR5766474
sit4D	RIBO	SRR5766424
sit4D	RIBO	SRR5766466
sap190D	RIBO	SRR5766426
sap190D	RIBO	SRR5766468
sap185D	RIBO	SRR5766425
sap185D	RIBO	SRR5766467
rtt10D	RIBO	SRR5766386
rtt10D	RIBO	SRR5766400
rit1D	RIBO	SRR5766395
rit1D	RIBO	SRR5766409
pus9D	RIBO	SRR5766420
pus9D	RIBO	SRR5766462
pus7D	RIBO	SRR5766392
pus7D	RIBO	SRR5766406
pus5D	RIBO	SRR5766444
pus5D	RIBO	SRR5766485
pus4D	RIBO	SRR5766443
pus4D	RIBO	SRR5766484
pus3D	RIBO	SRR5766419
pus3D	RIBO	SRR5766461
pus2D	RIBO	SRR5766421
pus2D	RIBO	SRR5766463
pus1D	RIBO	SRR5766391
pus1D	RIBO	SRR5766405
ncs6D	RIBO	SRR5766442
ncs6D	RIBO	SRR5766447
ncs2D	RIBO	SRR5766428
ncs2D	RIBO	SRR5766470
mod5D	RIBO	SRR5766449
mod5D	RIBO	SRR5766489
kti13D	RIBO	SRR5766508
kti12D	RIBO	SRR5766423
kti12D	RIBO	SRR5766465
kti11D	RIBO	SRR5766390
kti11D	RIBO	SRR5766404
isu2D	RIBO	SRR5766430
isu2D	RIBO	SRR5766472
isu1D	RIBO	SRR5766429
isu1D	RIBO	SRR5766471
gon7D	RIBO	SRR5766506
gon7D	RIBO	SRR5766507
elp6D	RIBO	SRR5766439
elp6D	RIBO	SRR5766488
elp5D	RIBO	SRR5766492
elp5D	RIBO	SRR5766493
elp4D	RIBO	SRR5766422
elp4D	RIBO	SRR5766464
elp3D	RIBO	SRR5766389
elp3D	RIBO	SRR5766403
elp2D	RIBO	SRR5766441
elp2D	RIBO	SRR5766483
elp1D	RIBO	SRR5766388
elp1D	RIBO	SRR5766402
dus4D	RIBO	SRR5766436
dus4D	RIBO	SRR5766478
dus3D	RIBO	SRR5766435
dus3D	RIBO	SRR5766477
dus2D	RIBO	SRR5766504
dus2D	RIBO	SRR5766505
dus1D	RIBO	SRR5766434
dus1D	RIBO	SRR5766476
cgi121D	RIBO	SRR5766498
cgi121D	RIBO	SRR5766499
bud32D	RIBO	SRR5766496
bud32D	RIBO	SRR5766497
BY4741	RIBO	SRR5766382
BY4741	RIBO	SRR5766387
BY4741	RIBO	SRR5766393
BY4741	RIBO	SRR5766396
BY4741	RIBO	SRR5766401
BY4741	RIBO	SRR5766407
BY4741	RIBO	SRR5766410
BY4741	RIBO	SRR5766411
BY4741	RIBO	SRR5766452
BY4741	RIBO	SRR5766453
BY4741	RIBO	SRR5766500
BY4741	RIBO	SRR5766501
BY4741	RIBO	SRR5766502
BY4741	RIBO	SRR5766503
BY4741NOCHX	RIBO	SRR6075747
elp3DNOCHX	RIBO	SRR6075748
mod5DNOCHX	RIBO	SRR6075749
tan1DNOCHX	RIBO	SRR6075750
trm7DNOCHX	RIBO	SRR6075751
tyw4DNOCHX	RIBO	SRR6075752
